Table 1
participantid;jobid;datefrom;dateto;
748;936;2022-03-01;2023-05-21;
749;1038;2022-03-01;2023-05-21;
750;1242;2022-03-01;2023-05-21;
751;858;2022-03-01;2023-05-21;
752;963;2022-03-01;2023-05-21;
753;901;2022-03-01;2023-05-21;
754;1152;2022-03-01;2023-05-21;
755;992;2022-03-01;2023-05-21;
758;1123;2022-03-01;2023-05-21;
759;1237;2022-03-01;2023-05-21;
763;1224;2022-03-01;2023-05-21;
764;1087;2022-03-01;2023-05-21;
765;1193;2022-03-01;2023-05-21;
766;1115;2022-03-01;2023-05-21;
767;653;2022-03-01;2023-05-21;
769;44;2022-03-01;2023-05-21;
770;1324;2022-03-01;2023-05-21;
772;1258;2022-03-01;2023-05-21;
775;1201;2022-03-01;2023-05-21;
776;651;2022-03-01;2023-05-21;
777;597;2022-03-01;2023-05-21;
778;1266;2022-03-01;2023-05-21;
779;407;2022-03-01;2023-05-21;
781;569;2022-03-01;2023-05-21;
782;283;2022-03-02;2022-03-02;
782;329;2022-03-02;2022-03-02;
782;332;2022-03-02;2023-05-21;
782;920;2022-03-02;2022-03-02;
783;1073;2022-03-01;2023-05-21;
784;1316;2022-03-01;2023-05-21;
786;281;2022-03-01;2023-05-21;
787;475;2022-03-01;2023-05-21;
788;1104;2022-03-01;2023-05-21;
795;1200;2022-03-01;2023-05-21;
796;1215;2022-03-01;2023-05-21;
797;1210;2022-03-01;2023-05-21;
798;332;2022-03-02;2022-03-02;
798;842;2022-03-02;2022-03-02;
798;891;2022-03-02;2023-05-21;
798;904;2022-03-02;2022-03-02;
798;968;2022-03-02;2022-03-02;
800;35;2022-03-01;2023-05-21;
801;1289;2022-03-01;2023-05-21;
803;449;2022-03-01;2023-05-21;
804;1120;2022-03-01;2023-05-21;
805;498;2022-03-01;2023-05-21;
807;533;2022-03-01;2023-05-21;
809;1182;2022-03-01;2023-05-21;
810;94;2022-03-01;2023-05-21;
811;1259;2022-03-01;2023-05-21;
812;1273;2022-03-01;2023-05-21;
813;1291;2022-03-01;2023-05-21;
814;1042;2022-03-01;2023-05-21;
815;1295;2022-03-01;2023-05-21;
819;85;2022-03-01;2023-05-21;
820;120;2022-03-01;2023-05-21;
821;554;2022-03-01;2023-05-21;
822;430;2022-03-01;2023-05-21;
823;234;2022-03-01;2023-05-21;
826;1173;2022-03-01;2023-05-21;
829;215;2022-03-01;2023-05-21;
830;210;2022-03-01;2023-05-21;
833;236;2022-03-01;2023-05-21;
835;1234;2022-03-01;2023-05-21;
836;290;2022-03-01;2023-05-21;
837;446;2022-03-01;2023-05-21;
838;610;2022-03-01;2023-05-21;
840;1246;2022-03-01;2023-05-21;
841;1187;2022-03-01;2023-05-21;
843;1297;2022-03-01;2023-05-21;
844;1164;2022-03-01;2023-05-21;
845;136;2022-03-01;2023-05-21;
848;1189;2022-03-01;2023-05-21;
849;484;2022-03-02;2022-03-02;
849;666;2022-03-02;2022-03-02;
849;783;2022-03-02;2022-03-02;
849;842;2022-03-02;2022-03-02;
849;891;2022-03-02;2022-03-02;
849;920;2022-03-02;2023-05-21;
849;968;2022-03-02;2022-03-02;
850;1051;2022-03-01;2023-05-21;
851;1287;2022-03-01;2023-05-21;
852;677;2022-03-01;2023-05-21;
854;599;2022-03-01;2023-05-21;
857;1065;2022-03-01;2023-05-21;
861;1103;2022-03-01;2023-05-21;
863;1236;2022-03-01;2023-05-21;
865;197;2022-03-01;2023-05-21;
866;1238;2022-03-01;2023-05-21;
868;154;2022-03-02;2023-05-21;
869;1260;2022-03-01;2023-05-21;
870;1251;2022-03-01;2023-05-21;
871;174;2022-03-01;2023-05-21;
873;555;2022-03-01;2023-05-21;
874;1110;2022-03-01;2023-05-21;
877;1108;2022-03-01;2023-05-21;
878;1175;2022-03-01;2023-05-21;
879;1149;2022-03-01;2023-05-21;
880;1;2022-03-01;2023-05-21;
881;1117;2022-03-01;2023-05-21;
882;1192;2022-03-01;2023-05-21;
888;1136;2022-03-01;2023-05-21;
889;68;2022-03-01;2023-05-21;
890;1208;2022-03-01;2023-05-21;
891;1188;2022-03-01;2023-05-21;
893;1131;2022-03-01;2023-05-21;
894;1074;2022-03-01;2023-05-21;
895;1029;2022-03-01;2023-05-21;
898;1076;2022-03-01;2023-05-21;
899;1315;2022-03-01;2023-05-21;
903;200;2022-03-01;2023-05-21;
904;333;2022-03-01;2023-05-21;
905;1257;2022-03-01;2023-05-21;
906;1232;2022-03-01;2023-05-21;
908;1080;2022-03-01;2023-05-21;
910;1118;2022-03-01;2023-05-21;
912;1310;2022-03-01;2023-05-21;
913;127;2022-03-01;2023-05-21;
914;233;2022-03-01;2023-05-21;
915;1156;2022-03-01;2023-05-21;
916;396;2022-03-02;2022-03-02;
916;464;2022-03-02;2022-03-02;
916;488;2022-03-02;2022-03-02;
916;558;2022-03-02;2023-05-21;
916;891;2022-03-02;2022-03-02;
916;920;2022-03-02;2022-03-02;
917;1105;2022-03-01;2023-05-21;
918;324;2022-03-01;2023-05-21;
921;1063;2022-03-01;2023-05-21;
922;540;2022-03-01;2023-05-21;
926;629;2022-03-01;2023-05-21;
927;634;2022-03-01;2023-05-21;
928;1148;2022-03-01;2023-05-21;
929;1098;2022-03-01;2023-05-21;
930;303;2022-03-01;2023-05-21;
931;1298;2022-03-01;2023-05-21;
932;1169;2022-03-01;2023-05-21;
933;432;2022-03-01;2023-05-21;
934;67;2022-03-01;2023-05-21;
935;1304;2022-03-01;2023-05-21;
936;545;2022-03-01;2023-05-21;
937;550;2022-03-01;2023-05-21;
938;1305;2022-03-01;2023-05-21;
939;1121;2022-03-01;2023-05-21;
940;1158;2022-03-01;2023-05-21;
941;1144;2022-03-01;2023-05-21;
942;1150;2022-03-01;2023-05-21;
943;1176;2022-03-01;2023-05-21;
944;130;2022-03-01;2023-05-21;
945;1032;2022-03-01;2023-05-21;
946;510;2022-03-01;2023-05-21;
947;404;2022-03-01;2023-05-21;
948;302;2022-03-01;2023-05-21;
949;1284;2022-03-01;2023-05-21;
950;114;2022-03-01;2023-05-21;
951;1180;2022-03-01;2023-05-21;
952;536;2022-03-01;2023-05-21;
953;123;2022-03-01;2023-05-21;
954;1285;2022-03-01;2023-05-21;
955;257;2022-03-01;2023-05-21;
956;147;2022-03-01;2023-05-21;
957;1114;2022-03-01;2023-05-21;
958;34;2022-03-01;2023-05-21;
959;1044;2022-03-01;2023-05-21;
960;898;2022-03-01;2023-05-21;
961;259;2022-03-01;2023-05-21;
962;1116;2022-03-01;2023-05-21;
963;486;2022-03-01;2023-05-21;
964;1213;2022-03-01;2023-05-21;
965;463;2022-03-01;2023-05-21;
966;917;2022-03-01;2023-05-21;
967;1326;2022-03-01;2023-05-21;
968;1214;2022-03-01;2023-05-21;
969;49;2022-03-01;2023-05-21;
970;418;2022-03-01;2023-05-21;
971;681;2022-03-01;2023-05-21;
972;1078;2022-03-01;2023-05-21;
973;490;2022-03-01;2023-05-21;
974;1320;2022-03-01;2023-05-21;
975;182;2022-03-01;2023-05-21;
976;507;2022-03-01;2023-05-21;
977;1096;2022-03-01;2023-05-21;
978;1075;2022-03-01;2023-05-21;
979;1099;2022-03-01;2023-05-21;
980;1280;2022-03-01;2023-05-21;
981;1135;2022-03-01;2023-05-21;
982;678;2022-03-01;2023-05-21;
983;41;2022-03-01;2023-05-21;
984;638;2022-03-01;2023-05-21;
985;107;2022-03-01;2023-05-21;
986;264;2022-03-01;2023-05-21;
987;121;2022-03-01;2023-05-21;
988;235;2022-03-01;2023-05-21;
989;1054;2022-03-01;2023-05-21;
990;1172;2022-03-01;2023-05-21;
991;809;2022-03-01;2023-05-21;
992;450;2022-03-01;2023-05-21;
993;188;2022-03-01;2023-05-21;
994;1160;2022-03-01;2023-05-21;
995;1048;2022-03-01;2023-05-21;
996;1222;2022-03-01;2023-05-21;
997;306;2022-03-01;2023-05-21;
998;1124;2022-03-01;2023-05-21;
999;672;2022-03-01;2023-05-21;
1000;32;2022-03-01;2023-05-21;
1001;157;2022-03-01;2023-05-21;
1002;580;2022-03-01;2023-05-21;
1003;1083;2022-03-01;2023-05-21;
1004;87;2022-03-01;2023-05-21;
1005;1227;2022-03-01;2023-05-21;
1006;1047;2022-03-01;2023-05-21;
1007;1226;2022-03-01;2023-05-21;
1008;55;2022-03-01;2023-05-21;
1009;627;2022-03-01;2023-05-21;
1010;143;2022-03-01;2023-05-21;
